Wavelength Temp1 Temp2 Temp3
0.00 nan nan nan
0.10 0.05 8597.10 11540277.61
0.20 43884302.84 17736293495.24 649823323874.29
0.30 17268627936.64 943980189943.87 10413842725116.08
0.40 224010923980.82 4503983813511.40 27279293512124.12
0.50 809780410305.03 8938878898052.83 37835594497679.94
0.60 1613087937590.11 11951978181881.03 39926232777526.59
0.70 2342724823742.16 13077807567914.78 36980902580859.48
0.80 2836260447458.10 12827841382918.27 32085595375788.75
0.90 3073428524834.88 11824347142745.95 26937370942568.58
1.00 3104663860780.47 10513807892738.46 22263611390268.83
1.10 2996350154458.16 9156258515669.41 18288080823176.22
1.20 2805973003600.85 7882231973215.00 15011224299965.79
1.30 2575543795976.48 6745810220953.44 12350323596568.99
1.40 2332804778547.05 5760229037728.96 10202621489128.19
1.50 2094649964494.13 4918877978612.79 8470869889658.84
1.60 1870490595206.29 4206803792734.06 7071801795061.30
1.70 1664889821767.87 3606646972058.13 5937367518167.91
1.80 1479424445922.72 3101496486572.96 5013234785445.77
1.90 1313925550995.18 2676107893185.88 4256515062857.50
2.00 1167272801565.34 2317288012205.69 3633512730054.20
2.10 1037886509567.07 2013879128220.00 3117775196278.84
2.20 924022440072.58 1756569792530.09 2688502097165.51
2.30 823941204125.81 1537647437304.79 2329286481263.77
2.40 735999654528.54 1350748357659.73 2027134531776.84
2.50 658694842619.87 1190629451384.16 1771708268669.50
2.60 590679889088.70 1052970279307.96 1554742395443.20
2.70 530763844034.50 934206335776.63 1369595365970.21
2.80 477902957185.02 831391006312.30 1210903219435.56
2.90 431187837077.46 742082447756.47 1074311899653.18
3.00 389829136916.26 664251443372.64 956269512480.23
